City_ID,City,Max Temp,Lat,Lng,Country,Hotel Name
1,Chuy,86.07,-33.6971,-53.4616,UY,Nuevo Hotel Plaza
4,Rikitea,77.58,-23.1203,-134.9692,PF,People ThankYou
8,Cap Malheureux,79.29,-19.9842,57.6142,MU,Pereybere Hotel & Spa
18,Omboue,79.12,-1.5746,9.2618,GA,Hotel Olako
21,Cayenne,79.09,4.9333,-52.3333,GF,Hôtel Le Dronmi
22,Atuona,77.27,-9.8,-139.0333,PF,Villa Enata
31,Talara,84.96,-4.5772,-81.2719,PE,Hostal Oro Negro
33,Georgetown,76.95,5.4112,100.3354,MY,Cititel Penang
35,Saint-Paul,80.69,-21.0096,55.2707,RE,Boucan Canot
37,Port Keats,78.66,-14.25,129.55,AU,TDC Village (Hundred Man Camp)
38,Kahului,77.02,20.8947,-156.47,US,Maui Seaside Hotel
41,Puerto Ayora,85.96,-0.7393,-90.3518,EC,Finch Bay Galapagos Hotel
42,Cabo San Lucas,88.52,22.8909,-109.9124,MX,Hotel Tesoro Los Cabos
48,Cidreira,76.66,-30.1811,-50.2056,BR,Hotel Castelo
49,Mahebourg,79.09,-20.4081,57.7,MU,Shandrani Beachcomber Resort & Spa
50,Port-Gentil,80.83,-0.7193,8.7815,GA,Fengshui Residence
52,Carutapera,82.6,-1.195,-46.02,BR,Lidera
64,Isangel,75.31,-19.55,169.2667,VU,Tanna Lodge
66,Hithadhoo,82.24,-0.6,73.0833,MV,Scoop Guest House
67,Matara,76.77,5.9485,80.5353,LK,Amaloh Boutique Resort
68,Machali,85.28,-34.1833,-70.6667,CL,Mining House
73,Hilo,77.4,19.7297,-155.09,US,Hilo Hawaiian Hotel
75,Saint-Philippe,80.15,-21.3585,55.7679,RE,"Chambres d'hôte ""La Trinité"""
76,Sao Joao Da Barra,84.29,-21.6403,-41.0511,BR,Pousada Porto De Canoas
79,Vaini,80.76,-21.2,-175.2,TO,Keleti Beach Resort
80,Carnarvon,87.87,-24.8667,113.6333,AU,Hospitality Carnarvon
87,Kapaa,75.18,22.0752,-159.319,US,Sheraton Kauai Coconut Beach Resort
90,Tonantins,82.69,-2.8731,-67.8022,BR,Hotel Rei Davi
100,Butaritari,81.01,3.0707,172.7902,KI,Isles Sunset Lodge
101,Mar Del Plata,75.22,-38.0023,-57.5575,AR,Gran Hotel Mar del Plata
102,Bathsheba,84.81,13.2167,-59.5167,BB,Atlantis Hotel
105,Coracao De Maria,87.28,-12.2333,-38.75,BR,Pousada de Dona Bó
108,Chake Chake,78.87,-5.2459,39.7666,TZ,Hotel Archipelago
109,Pouembout,75.94,-21.1333,164.9,NC,Camping de Tipenga
110,Galesong,75.22,-5.3166,119.3661,ID,Sapriadi Appy
112,Isabela,77.88,6.7085,121.9711,PH,Isawad Resort
